member_state,status_initial,status_verified,verification_note,confidence,date_adopted,date_published,date_in_force,date_first_participants,participants_count,derogation_power,derogation_power_note,suff_funding,suff_funding_note,suff_graduation,suff_graduation_note,suff_recognition,suff_recognition_note,last_checked,legal_instrument,instrument_date,competent_authority,sectors_in_scope,health_ai_in_scope,participants,entry_criteria_published,exit_report_required,adversarial_verification,notes,source_urls
Austria,nothing_reported,nothing_reported,,medium,,,,,n/a,n-a,,n-a,,n-a,,n-a,,2026-09-08,none found,n/a,"none designated for a sandbox. The RTR KI-Servicestelle (AI Service Desk) exists but its statutory basis — § 20c KOG and § 194a TKG, inserted by BGBl. I Nr. 6/2024 — gives it an advisory/information-hub mandate only, not sandbox operation. Austria had also not designated its Art. 70 market surveillance or notifying authorities as of mid-2026.","n/a — no instrument. A Wirtschaftskammer Österreich (WKO) white paper of 5 Feb 2026 proposes a sector-neutral sandbox naming health, industry, mobility, energy, education, public administration and critical infrastructure as relevant domains, with political responsibility at the Bundeskanzleramt and oversight by existing sectoral authorities. This is a business-chamber proposal, not government policy.",not specified,none — no sandbox in operation,no,unknown,n/a,"No operational sandbox and no national instrument as of Sept 2026. The RTR AI Service Desk's own AI Act pages and FAQ describe the Art. 57 obligation generically and record the Omnibus postponement of the sandbox deadline, but say nothing about an Austrian sandbox, an authority, or a draft. The Digital Austria government AI Act page likewise covers only Art. 77 fundamental-rights authority designation. The WKO white paper (5 Feb 2026) and its companion article (5 May 2026) state explicitly that Austria has no dedicated legal framework, no designated authority and no government draft — that negative is the strongest evidence here, and it comes from an advocacy source rather than government, which is why confidence is medium not high. A May 2025 secondary source describes Austria as 'evaluating the concept through its AI Service Desk'; that is stale and unconfirmed by any RTR or federal source. Coded nothing_reported rather than announced because no government body has publicly committed to establishing one. Gap for the paper: no primary Austrian government statement of intent either way was found — worth a direct query to RTR/BKA before publication.","https://www.rtr.at/rtr/service/ki-servicestelle/ki-servicestelle.de.html
https://www.rtr.at/rtr/service/ki-servicestelle/ai-act/AI_Act.en.html
https://www.rtr.at/rtr/service/ki-servicestelle/faq/FAQ.de.html
https://www.digitalaustria.gv.at/themen/kuenstliche-intelligenz/ai-act.html
https://www.wko.at/oe/news/weissbuch-regulatorisches-ki-reallabor-oesterreich.pdf
https://www.wko.at/oe/news/ki-sandbox-soll-markteintritt-rechtssicher-beschleunigen
https://ai-act-service-desk.ec.europa.eu/en/national-resources"
Belgium,nothing_reported,nothing_reported,,medium,,,,,n/a,n-a,,n-a,,n-a,,n-a,,2026-09-08,none found,n/a,"none designated. As of 29 July 2026 Belgium had no officially appointed AI Act supervisor; the FPS Economy (FOD Economie / SPF Economie) coordinates implementation and confirmed to VRT NWS that the characterisation of a current 'legal vacuum' is correct. BIPT/IBPT (Belgian Institute for Postal Services and Telecommunications) is expected to become the principal market surveillance authority per the Federal Coalition Agreement 2025-2029, but this requires parliamentary approval that had not happened.",n/a — no instrument,not specified,none — no sandbox in operation,no,unknown,n/a,"No operational sandbox, no national instrument, and no designated authority as of late July 2026 (VRT NWS, 29 July 2026, quoting FPS Economy). A federal implementing bill was reported as in development but not yet before parliament; no text or title was traceable to a primary source, so it is not recorded as an instrument. Federal-structure caveat matters for the paper: Belgium's AI Act competence is split between the federal level and the communities/regions, which is the stated reason for the delay. Earlier signals are all pre-instrument and advisory: Senate written question 8-19 (18 Dec 2024) drew a ministerial answer that analysis was ongoing with a political decision expected 'at the earliest from February 2025' and made no mention of a sandbox; the FARI Institute / Kenniscentrum Data & Maatschappij event of 17 Dec 2024 presented academic 'recommendations for creating an AI regulatory sandbox in Belgium', i.e. a proposal, not a commitment. A Council of Ministers decision of 24 April 2026 does concern AI but is an unrelated bill on AI use by intelligence and security services — do not miscite it as AI Act implementation. Note the FPS Economy AI Act pages (economie.fgov.be/en|fr/themes/enterprises/ai-act) could not be retrieved (robots.txt), so their current content is unverified; a manual check is advisable before publication.","https://www.vrt.be/vrtnws/nl/2026/07/29/geen-toezichthouder-wel-al-strengere-regels-hoe-ver-staat-belg/
https://www.senate.be/www/?MIval=Vragen%2FSchriftelijkeVraag&LEG=8&NR=19&LANG=fr
https://www.fari.brussels/fr/calendrier/bacs-sable-ia
https://ai-act-service-desk.ec.europa.eu/en/national-resources
https://news.belgium.be/fr/mise-jour-de-la-loi-organique-des-services-de-renseignement-et-de-securite"
Bulgaria,announced,announced,,medium,,,,,n/a,n-a,,no,"2026 project proposal of EUR 213,520 for capacity and a regulatory laboratory, rated LOW PRIORITY by the Ministry of Finance and unfunded.",n-a,,n-a,,2026-09-08,"none found. Two things are often miscited as instruments and are not: (1) the private member's bill 'Законопроект за използването и развитието на изкуствения интелект' (Bill on the Use and Development of Artificial Intelligence), tabled by MP Bozhidar Bozhanov (Da, Bulgaria) on 8 Oct 2025, which contained provisions for 'регулаторни лаборатории' (regulatory laboratories) but was REJECTED at first reading by the National Assembly's Committee on Electronic Governance and Information Technologies on 27 Nov 2025, the Ministry of Electronic Governance opposing it on 22 grounds; (2) a 2026 budget project proposal for 'administrative capacity and a regulatory laboratory for AI', budgeted at EUR 213,520, which the Ministry of Finance rated LOW PRIORITY.",n/a,"none designated. The Ministry of Electronic Governance (Министерство на електронното управление, MEG) is the designated lead for AI Act implementation and coordinates an inter-ministerial working group tasked with producing the national framework (target March 2026). MEG had drafted a proposal to designate the Bulgarian Accreditation Service as the national notifying body, not approved by the Council of Ministers as of Jan 2026. No market surveillance authority designated; MEG stated Bulgaria 'still has no oversight of high-risk AI systems'.",n/a — no instrument,not specified,none — no sandbox in operation,no,unknown,n/a,"Coded 'announced' on the strength of a documented, government-side intention: MEG disclosed in an official FOI response (16-22 Dec 2025) and to the state news agency BTA (9 Jan 2026) a 2026 project proposal to build administrative capacity and a regulatory laboratory for AI. Read that coding with the caveat that the proposal was rated low priority by the Ministry of Finance and is unfunded — a reader applying a stricter definition of 'public commitment' could defensibly recode this to nothing_reported, and the paper should say which convention it uses. MEG identified insufficient expert capacity, missing technical infrastructure and institutional coordination as the obstacles. The rejected Bozhanov bill is the only Bulgarian text found containing sandbox provisions; its specific articles were not retrievable from a primary source, so no article numbers are asserted here. No post-January-2026 primary source on Bulgarian progress was found, so the March 2026 working-group target is unverified as met or missed — a marked gap.","https://www.bta.bg/bg/news/economy/1039767-balgariya-vse-oshte-nyama-nadzor-nad-visokoriskovite-sistemi-s-izkustven-intelek
https://www.bta.bg/bg/news/bulgaria/1016953-komisiyata-po-elektronno-upravlenie-i-informatsionni-tehnologii-ne-prie-zakonopr
https://pitay.government.bg/application/17911/view
https://dabulgaria.bg/wp-content/uploads/2025/09/Zakon-za-izpolzvaneto-i-razvitieto-na-izkustveniya-intelekt.pdf
https://ai-act-service-desk.ec.europa.eu/en/national-resources"
Croatia,nothing_reported,nothing_reported,,medium,,,,,n/a,n-a,,n-a,,n-a,,n-a,,2026-09-08,"none found. A 'Zakon o provedbi uredbe (EU) 2024/1689 ... (Akt o umjetnoj inteligenciji)' appears on the government's e-Savjetovanja portal only as a legislative-activity consultation form (entityId 29348); the page could not be retrieved (404 on fetch), so neither its dates nor its content are verified, and no draft text, adoption or Narodne novine publication was found.",n/a,"none designated for a sandbox, and no Art. 70 market surveillance or notifying authority designated as of July 2026. The Ministry of Justice, Administration and Digital Transformation (MPUDT) is preparing the national framework; the Central State Office for the Development of Digital Society represented Croatia at the AI Board. Separately, MPUDT published a list of Art. 77 fundamental-rights authorities on 5 Dec 2024 (Ombudswoman; Ombudswoman for Children; for Gender Equality; for Persons with Disabilities; AZOP/data protection agency; State Election Commission; Agency for Electronic Media) — this is Art. 77 designation only and must not be cited as sandbox or market-surveillance designation.",n/a — no instrument,not specified,none — no sandbox in operation,no,unknown,n/a,"Croatia is the least-documented of the four. As of 20 July 2026 there was no adopted implementing law, no designated regulator, and sandbox parameters were explicitly still open — CroAI's Stefan Martinic framed 'sto ce biti s regulatornim pjescanicima' (what will happen with the regulatory sandboxes) as a question for forthcoming legislation, and noted Croatia was roughly a year behind on the August 2025 authority-designation deadline. Industry commentary flags fragmentation risk across HAKOM, AZOP and HANFA. No Croatian government source found that mentions a sandbox at all. Two verification gaps worth closing before publication: the e-Savjetovanja consultation entry (esavjetovanja.gov.hr/ECon/MainScreen?entityId=29348) needs a manual look, and a Narodne novine search should be re-run close to submission in case an instrument lands. Croatia is not individually named in the EPRS April 2026 state-of-play note, which places it among the 16 member states that had not communicated sandbox plans.","https://mpudt.gov.hr/vijesti/objavljen-popis-nadleznih-tijela-sukladno-uredbi-o-umjetnoj-inteligenciji/29657
https://www.netokracija.com/ai-akt-podcast-stefan-martinic-henna-virkkunen-245603
https://www.netokracija.com/hrvatska-ai-akt-developeri-zatvoru-241692
https://financije.hr/hrvatska-priprema-zakonski-okvir-za-nadzor-primjene-umjetne-inteligencije/
https://esavjetovanja.gov.hr/ECon/MainScreen?entityId=29348
https://ai-act-service-desk.ec.europa.eu/en/national-resources"
Cyprus,nothing_reported,nothing_reported,,medium,,,,,n/a,n-a,,n-a,,n-a,,n-a,,2026-09-08,"none found — no national AI Act implementing law has been enacted or even put to public consultation as of mid-2026; authority designation was made by Council of Ministers decision (reported as January 2025), not by statute",unknown (Council of Ministers governance decision reported as January 2025; no sandbox instrument),"Commissioner of Communications (Επίτροπος Επικοινωνιών / OCECPR) — designated Notifying Authority, Market Surveillance Authority and national Single Point of Contact per the European Commission's AI Act Service Desk national-resources listing. The Commissioner for Personal Data Protection has a parallel role for data-protection aspects. No authority has been designated to operate a sandbox.",n/a — no sandbox established,not specified,unknown,no,unknown,n/a,"No Cypriot sandbox found in any source. Two independent Cypriot press reports (Ink/Offsite, 30 June 2026; Sigmalive, 12 August 2026) both report that Cyprus has no AI Act implementing bill: the Legal Service is quoted saying 'δεν υπάρχει αυτή τη στιγμή νομοσχέδιο' (no bill currently exists), and the Data Protection Commissioner is quoted saying the framework remains under formation because the techno-economic study commissioned by the Deputy Ministry of Research, Innovation and Digital Policy is unfinished and the bill has not gone to public consultation. Neither article mentions a sandbox. The official ai.cy portal (run by the Commissioner of Communications) states only the obligation itself — that member states must have at least one sandbox operational by 02/08/2027, which independently confirms Cyprus is working to the post-Omnibus deadline. CAVEAT for the paper: the two Cypriot press reports differ on the division of roles — the June 2026 report describes the Communications Commissioner as coordination point and the DPA as market surveillance authority, while the August 2026 report and the Commission's own Service Desk listing give the Communications Commissioner the notifying, market-surveillance and SPOC roles. I have followed the Commission Service Desk as the authoritative source. Cite Cyprus as a confirmed gap, not as an unresearched one.","https://ai-act-service-desk.ec.europa.eu/en/national-resources
https://ai.cy/
https://www.sigmalive.com/news/local/1325508/h-ee-vazei-freno-stin-anekseleghkti-tekhniti-noimosyni-ti-iskhyei-ghia-tin-kypro
https://ink.com/articles/639008/tehniti-noimosyni-oi-polites-anohyrotoi-eno-i-kypros-akomi-htizei-tis-dikleides-asfaleias"
Czechia,implementing,implementing,,medium,,,,,unknown,n-a,,unknown,,unknown,,unknown,,2026-09-08,"No adopted AI-specific national instrument. (a) Sandbox operatorship was assigned administratively by the government-approved 'Plán implementace AI Actu v ČR' (government approval 28 May 2025). (b) A draft adaptation law (návrh zákona o umělé inteligenci, prepared by the Ministry of Industry and Trade / MPO, draft published 12 January 2026) contains the sandbox provisions but had not been adopted as of the latest sourcing. (c) Act No. 328/2025 Coll. on research, development, innovation and knowledge transfer provides a general, non-AI-specific statutory regulatory-sandbox framework.",Government implementation plan approved 28 May 2025; MPO draft AI law published 12 January 2026 (not adopted); Act 328/2025 Coll. enacted 2025,"Czech Agency for Standardization (Česká agentura pro standardizaci, ČAS) operates the sandbox; the Office for Technical Standardization, Metrology and State Testing (ÚNMZ) is its founder and the notifying authority. Separately, the Czech Telecommunication Office (ČTÚ) is the general market surveillance authority and SPOC, with the Czech National Bank (financial sector) and the Office for Personal Data Protection (ÚOOÚ, biometrics/law-enforcement high-risk) as co-supervisors.","Cross-sectoral in design. Reporting emphasises automotive/autonomous systems and advanced analytics; the government implementation-plan coverage also names biometric identification, visa processing and medical robotics among high-risk applications generally. SME-oriented.",not specified,unknown,unknown,unknown,n/a,"Do NOT code Czechia as operational. Lupa.cz (12 May 2026) reported the sandbox was scheduled to launch 'during this August' (2026) under ČAS with MPO funding making it free for startups, and that entry is not automatic — a selection process applies. I could find no source confirming the launch actually happened, no ČAS application call, and no ČAS sandbox page (a site search of agenturacas.gov.cz returned nothing on AI sandboxes). Treat 'implementing' as the defensible coding: the operator is designated and a draft instrument exists, but neither operation nor the instrument is confirmed. On entry criteria: the draft law reportedly delegates the criteria to ČAS, which is to publish them on its website, and entry requires a signed agreement with no right to admission — so criteria are provided for but not (yet) published. Legislative status is a live risk: the draft was in inter-ministerial review in Feb 2026 and expected to go to government before 2 August 2026; a Czech government change followed the October 2025 election, and I found no confirmation of adoption. TRAP FLAGGED: Act No. 328/2025 Coll. is titled 'o výzkumu, vývoji, inovacích a transferu znalostí' (research, development, innovation and knowledge transfer) — it is a general innovation/sandbox framework, NOT the AI Act sandbox instrument. A consultancy tracker (regulatornisandboxy.cz, AQE advisors) presents it alongside the AI Act and still states the sandbox deadline as August 2026, i.e. it is pre-Omnibus and stale; I could not read the statute text directly (zakonyprolidi.cz and e-sbirka.gov.cz both blocked machine fetch), so do not cite 328/2025 as the AI sandbox basis without reading the text.","https://agenturacas.gov.cz/vlada-schvalila-klicovy-dokument-pro-rozvoj-i-bezpecnost-ai-v-cesku/
https://www.businessinfo.cz/clanky/rozvoj-umele-inteligence-v-cesku-vlada-schvalila-zajisteni-implementace-ai-aktu/
https://www.lupa.cz/aktuality/v-cesku-bude-mozne-uz-letos-testovat-umelou-inteligenci-bez-hrozby-pokut-a-postihu/
https://www.leitnerlaw.cz/novinky/ai-act-v-praxi-cesky-adaptacni-zakon-vymezuje-kompetence-postupy-a-sankce/
https://www.pravniprostor.cz/clanky/pravo-it/rok-2026-realny-test-ai-regulace-od-teorie-k-praxi
https://www.stuchlikova.com/en/blog/2026/ai-act-draft-law-on-artificial-intelligence/
https://ai-act-service-desk.ec.europa.eu/en/national-resources
https://www.zakonyprolidi.cz/cs/2025-328"
Denmark,operational,not_art57,"Refuted. Operational GDPR/data-protection sandbox (est. March 2024), not constituted under Art. 57. No Danish instrument creates an Art. 57 sandbox.",high,,,,2024-07-08,7,no,"Administrative GDPR-sandbox programme; guidance only, no derogation power.",unknown,,no,"Final reports are required and published as a programme rule, not as a statutory Art. 57(7) obligation.",no,"Not constituted under Art. 57, so Art. 58(2) does not attach.",2026-09-08,"None found for the sandbox itself. The Danish AI Act implementing statute is Lov nr. 467 af 14. maj 2025 om supplerende bestemmelser til forordningen om kunstig intelligens (in force 2 August 2025), which designates authorities and sanctions but contains no sandbox provisions. The sandbox is established administratively by Datatilsynet and Digitaliseringsstyrelsen as part of the government's digitalisation strategy.","Lov nr. 467 of 14 May 2025 (in force 2 August 2025) — authority designation only, no sandbox provision. Sandbox itself has no dated legal instrument; first round announced 8 July 2024.","Jointly operated by Datatilsynet (Danish Data Protection Authority) and Digitaliseringsstyrelsen (Danish Agency for Digital Government). Under Lov nr. 467/2025, Digitaliseringsstyrelsen is the central contact point, notifying authority and coordinating market surveillance authority; Datatilsynet is market surveillance authority for Art. 5(1)(d) and (g); Domstolsstyrelsen for court use of AI.","Cross-sectoral. Any actual or potential AI-system provider — companies, public authorities and other organisations — may apply; the programme explicitly contemplates drawing in sectoral regulators where health law (sundhedsloven), social legislation or employment law intersects with data protection and the AI Act.",yes,"7 projects across three rounds: round 1 (announced 8 July 2024) — 2 projects from 23 applications (Tryg Forsikring; Systematic with Copenhagen, Aarhus and Aalborg municipalities, the 'Talt' health/elderly-care documentation project); round 2 (announced 18 June 2025) — 2 projects from 18 applications (Børns Vilkår; BrainCapture ApS); round 3 (announced 9 July 2026) — 3 projects (Lex – Danmarks Nationalleksikon; Kintella ApS with Region Hovedstaden; Fenja ApS).",yes,no,"REFUTED -> Operational-but-not-Article-57. A Danish AI regulatory sandbox is genuinely admitting and hosting participants (three rounds to date), but it is an administratively established GDPR/data-protection sandbox created in March 2024 under the government's digitalisation strategy — not a sandbox constituted under EU AI Act Article 57. For Article 57 purposes Denmark's status is ""not established"": no Danish legal instrument creates an Art. 57 sandbox, neither Lov nr. 467 af 14. maj 2025 nor the amending AI-loven (L 111, 2025/26, in force 2 August 2026) contains any sandbox provision, and there is no Art. 57(7) exit-report or Art. 57(9) legal-certainty mechanism.","Denmark is the strongest case in this set and the most useful for a healthcare-AI paper — health/medical AI is not merely eligible but repeatedly admitted: round 1 included Systematic's 'Talt' voice-to-text documentation project for health and elderly care with three municipalities; round 2 included BrainCapture ApS, a MedTech startup using AI to interpret EEG for diagnosing epilepsy and other neurological conditions; round 3 (announced 9 July 2026) included Kintella ApS with Region Hovedstaden, covering AI translation between health personnel and citizens plus decision support for early detection of patient deterioration. IMPORTANT NUANCE for the paper — do not conflate the operational sandbox with an Article 57 legal designation. The Danish sandbox predates the AI Act sandbox obligation (first round July 2024) and is an administrative programme run out of the government's digitalisation strategy; Digitaliseringsstyrelsen now hosts it under its AI Act supervision pages (digst.dk/tilsyn/ai-forordningen/), but neither authority's page cites Article 57 by number, and I found no national instrument designating it as the Art. 57 sandbox. Exit reports: final reports (slutrapporter) ARE required and published as a condition of the programme — reports from round 1 were published in October 2025 — but this is a programme rule, not a statutory Art. 57(7) obligation, which is why I code exit_report_required as 'no' at the instrument level. Legislative gap to flag: bill L 111 (2025-26), 'Forslag til lov om supplerende bestemmelser til forordningen om kunstig intelligens (AI-loven)', presented 18 February 2026 and given its first reading 17 March 2026, is recorded by Folketingstidende as 'Bortfaldet' (lapsed) — consistent with a 2026 Danish general election (a new Folketing membership list for 2026– exists). That bill also appeared to contain no sandbox provisions. So as of September 2026 Denmark has an operational sandbox with no bespoke statutory basis. Entry criteria are published on both authorities' sites: Danish-society relevance, a genuine AI system as defined in the AI Act, coverage by the AI Act and/or GDPR, applicant is a provider or potential provider, and maturity beyond concept stage; selection then weighs societal significance, innovation potential, benefit from participation, economic feasibility and learning value for others. Round-3 timing: applications closed 1 May 2026, intro meetings June 2026, sandbox activity September–December 2026.","https://www.datatilsynet.dk/regler-og-vejledning/kunstig-intelligens/regulatorisk-sandkasse
https://digst.dk/tilsyn/ai-forordningen/regulatorisk-sandkasse-for-ai/
https://www.datatilsynet.dk/presse-og-nyheder/nyhedsarkiv/2024/jul/to-ai-projekter-udvalgt-til-foerste-runde-af-den-regulatoriske-sandkasse
https://www.datatilsynet.dk/presse-og-nyheder/nyhedsarkiv/2025/jun/to-ai-projekter-udvalgt-til-anden-runde-af-den-regulatoriske-sandkasse
https://www.datatilsynet.dk/presse-og-nyheder/nyhedsarkiv/2026/jul/tre-nye-ai-projekter-udvalgt-til-den-regulatoriske-sandkasse
https://www.retsinformation.dk/eli/lta/2025/467
https://www.ft.dk/samling/20251/lovforslag/l111/index.htm
https://www.folketingstidende.dk/samling/20251/lovforslag/L111/index.htm"
Estonia,announced,announced,,low,,,,,n/a,n-a,,n-a,,n-a,,n-a,,2026-09-08,"none found — no AI-specific national instrument. The nearest vehicle is a draft amendment to the General Part of the Economic Activities Code Act and the State Fees Act (Majandustegevuse seadustiku üldosa seaduse ja riigilõivuseaduse muutmise seadus), explanatory memorandum dated 10 November 2025, which would create a general cross-sectoral regulatory sandbox framework — not an AI Act Article 57 sandbox. I found no confirmation it has been adopted.",Draft explanatory memorandum 10 November 2025; adoption not confirmed,"Not designated for a sandbox. Under the draft general sandbox framework, the Ministry of Economic Affairs and Communications (MKM) would do initial screening and the competent sectoral regulator (pädev majandushaldusasutus) would decide admission. For the AI Act more broadly, Estonia's official Kratid portal records three bodies designated under Article 77: the Data Protection Inspectorate (Andmekaitse Inspektsioon), the Gender Equality and Equal Treatment Commissioner, and the Consumer Protection and Technical Regulatory Authority (TTJA). TTJA is the de facto market-surveillance body.","n/a for an AI sandbox. The draft general framework is cross-sectoral, applying only where a sectoral law expressly refers to it.",not specified,unknown,no,unknown,n/a,"Estonia is the weakest evidence base of the four — code it low confidence and consider marking it a gap rather than a data point. What supports 'announced' rather than 'nothing_reported': a joint Finland–Estonia announcement (reported 20 May 2026) that the two governments agreed to jointly develop regulatory sandboxes, with both expected to report AI Act sandbox implementation progress by end-2026 — but the joint press release named no AI systems, policy areas, timelines or funding. What is absent: no AI-specific law, no designated sandbox operator, no application process, no participants. Estonia's official AI portal (kratid.ee) discusses the AI Regulation and Article 77 authority designations but says nothing about a sandbox. The draft MSÜS/State Fees amendment is a genuinely useful comparator for the paper but must not be mislabelled: its own explanatory memorandum acknowledges the Article 57 obligation and notes MKM as contact point, yet the bill builds a general innovation sandbox (criteria: innovative product/service with economic or social benefit, a demonstrated regulatory barrier, a risk-mitigation plan, alternative compliance routes, and a public-interest assessment) with a post-project reporting duty — participants file with MKM within 30 days of closure and MKM publishes a summary assessing whether regulatory change is needed. That reporting duty resembles but is not the Art. 57(7) exit report, and healthcare/medical AI is mentioned only in passing via Accelerate Estonia projects. Two further cautions: (1) I could not load TTJA's own AI-systems page (repeated 503/permission failures) — a follow-up check there is the single highest-value verification step for Estonia; (2) the trackers disagree — artificialintelligenceact.eu (last updated 17 June 2026) records Estonia as having no implementation law and authorities 'not yet appointed', which conflicts with kratid.ee's Article 77 designations, and regulatoryai.eu (reviewed 14 June 2026) says Estonia plans sandbox facilities through an 'AI competence centre' that 'does not yet operate' — but that page still prints the pre-Omnibus 2 August 2026 sandbox deadline and is therefore stale and unusable as a source of record.","https://www.kratid.ee/tehisintellektimaarus
https://cms.advokatuur.ee/app/uploads/2025/11/MSUS-ja-RLS-muutmise-SK-10.11.2025.pdf
https://www.fairedih.fi/en/2026/05/20/finland-and-estonia-bet-on-ai-sandboxes-as-europes-small-states-seek-influence-over-digital-rules/
https://artificialintelligenceact.eu/national-implementation-plans/"
Finland,implementing,implementing,,medium,,,,,n/a,n-a,,unknown,,unknown,,unknown,,2026-09-08,"No enacted national instrument establishing the sandbox as of 8 Sept 2026. The in-force base act is Laki eräiden tekoälyjärjestelmien valvonnasta (Act on the Supervision of Certain AI Systems) 1377/2025, enacted from HE 46/2025 vp (submitted 8 May 2025), supervisory powers in force 1 Jan 2026 — but it designates authorities and sanctions only and contains NO sandbox provisions. The sandbox provisions sit in a pending phase-II amendment bill, project TEM091:00/2024 (""tekoälyasetuksen II vaiheen täytäntöönpano""), consultation 25 Apr – 2 Jun 2025, government proposal to Parliament 29 Jan 2026, planned entry into force 1 March 2027. No corresponding 2026 amendment act was found in Finlex, so it appears still before the Eduskunta.","Act 1377/2025 (base act, supervisory powers in force 1 Jan 2026); phase-II sandbox bill to Parliament 29 Jan 2026, planned in force 1 March 2027 — not yet enacted","Liikenne- ja viestintävirasto (Traficom), the Finnish Transport and Communications Agency. Traficom is already the central market-surveillance contact point under 1377/2025 and is the body proposed to run the testiympäristö in the phase-II draft; it maintains a public page titled ""Tekoälyn sääntelyn testiympäristöt"".","Not specified. Neither the draft nor Traficom's page enumerates sectors. The Finnish Competition and Consumer Authority (KKV), in its 28 May 2025 consultation opinion, expressly flagged that it was unclear whether the sandbox would cover only Annex III high-risk systems or a broader set, and pressed for consumer-facing and generative AI to be included.",not specified,unknown,no,unknown,n/a,"Classified 'implementing' because an authority (Traficom) is designated and publicly holds the brief, and a government proposal is before Parliament — but be precise in the paper: Finland has NO enacted sandbox instrument. Planned entry into force is 1 March 2027, i.e. Finland is deliberately tracking the post-Omnibus 2 Aug 2027 deadline rather than the old 2026 one. I could not retrieve the phase-II HE number or confirm its parliamentary stage as of Sept 2026 — Finlex and Eduskunta document pages returned only navigation shells. Also note Fimea (medicines agency) is among the ~18 sectoral authorities designated under the phase-I act, but that is market surveillance, not sandbox operation. Gaps to close before citing: (1) the phase-II HE number and current committee stage; (2) whether the draft's sandbox section names sectors or an exit report.","https://www.finlex.fi/en/legislation/2025/1377
https://valtioneuvosto.fi/hanke?tunnus=TEM091%3A00%2F2024
https://www.kkv.fi/ajankohtaista/lausunnot/lausunto-luonnoksesta-hallituksen-esitykseksi-eraiden-tekoalyjarjestelmien-valvonnasta-annetun-lain-muuttamiseksi-tekoalyn-testiymparisto/
https://traficom.fi/fi/viestinta/datatalous-ja-digipalvelut/tekoalyn-saantelyn-testiymparistot
https://valtioneuvosto.fi/en/projects-and-legislation/project?tunnus=TEM050:00/2024"
France,nothing_reported,nothing_reported,,medium,,,,,n/a,n-a,,n-a,,n-a,,n-a,,2026-09-08,none found,n/a,"None designated for a sandbox. For AI Act market surveillance generally, France has announced a distributed, sectoral architecture (~15 bodies) with DGCCRF as coordinator and CNIL in a central role, alongside Arcom, ACPR, ANSSI and sector regulators — but this architecture is set out in a bill that is not yet law, and no body has been designated to operate an Article 57 sandbox.",n/a — no sandbox established,not specified,unknown,no,unknown,n/a,"France is the clear laggard of the four and is a useful negative case for the paper. The vehicle is the projet de loi DDADUE, texte n° 118 (2025-2026), deposited in the Sénat 10 Nov 2025 under accelerated procedure; Article 24 concerns Regulation (EU) 2024/1689. The Sénat adopted it 18 Feb 2026 (texte n° 63), transmitted to the Assemblée nationale 20 Feb 2026 (texte n° 2518); as of the dossier's 4 Sept 2026 update it remains in first reading at the Assemblée and is NOT promulgated. Critically, the bill's étude d'impact contains no mention of a bac à sable réglementaire or Articles 57-63 at all — the French instrument, as drafted, addresses authority designation only, not the sandbox mandate. CAUTION for citation: CNIL runs several things it calls a « bac à sable » (AI in public services, digital health, edtech) — these are GDPR/personal-data sandboxes predating and legally distinct from the AI Act Article 57 sandbox, and conflating them would be a factual error. Arcep separately runs a telecoms 'bac à sable réglementaire' that is also unrelated. Also flag that the DGE's own explainer page (last updated 28 July 2025) still states sandboxes must be in place by 2 August 2026 — stale, pre-Omnibus, do not cite for the deadline.","https://www.senat.fr/dossier-legislatif/pjl25-118.html
https://www.senat.fr/leg/etudes-impact/pjl25-118-ei/pjl25-118-ei.html
https://www.entreprises.gouv.fr/priorites-et-actions/transition-numerique/soutenir-le-developpement-de-lia-au-service-de-0
https://www.banquedesterritoires.fr/le-senat-valide-une-regulation-de-lia-en-mode-puzzle
https://www.economie.gouv.fr/dgccrf/actualites-dgccrf/ia-la-dgccrf-coordonnera-laction-des-autorites-de-surveillance-en-france"
